instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	toilet paper,sponge,mops,tissues,tissue	absorbent
Use the Input below to identify the common property or characteristic shared by all these concepts.	hearts,critical reviews,analysts,molecules,nanotechnologies	academic journals
Use the Input below to identify the common property or characteristic shared by all these concepts.	colleges,religious schools,universities,conservatories,high schools	academies
Use the Input below to identify the common property or characteristic shared by all these concepts.	shoes,earrings,confederates,sunglasses,jewellery	accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	stole,sunglasses,scarf,suspenders,belt	accessories for clothing
Use the Input below to identify the common property or characteristic shared by all these concepts.	guitar st,drum sticks,violin bow,drum stool,piano keys	accessories for musical instruments
Use the Input below to identify the common property or characteristic shared by all these concepts.	crashs,collisions,injuries,skiing,lotteries	accidents
Use the Input below to identify the common property or characteristic shared by all these concepts.	vinegar,citric acid,red wine vinegar,battery acid,lemon juice	acidic
Use the Input below to identify the common property or characteristic shared by all these concepts.	pickings,planteds,agencies,hugs,eruptions	actions
Use the Input below to identify the common property or characteristic shared by all these concepts.	playing cards,boating,grouping,punctures,bursts	activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	mimes,reenactors,barnstormers,energizers,comedians	actors
Use the Input below to identify the common property or characteristic shared by all these concepts.	activities,discoveries,assumptions,stops,egresses	acts
Use the Input below to identify the common property or characteristic shared by all these concepts.	alcohol,heroin,ciggarettes,everquest,cocaine	addictive
Use the Input below to identify the common property or characteristic shared by all these concepts.	hoteliers,prefects,bureaucrats,executives,account managers	administrators
Use the Input below to identify the common property or characteristic shared by all these concepts.	bands,rosettes,pectorals,sequins,pendants	adornment
Use the Input below to identify the common property or characteristic shared by all these concepts.	bulls,researchers,adult cats,catchs,imagos	adults
Use the Input below to identify the common property or characteristic shared by all these concepts.	gnostics,partisans,democrats,nationalists,presenters	advocates
Use the Input below to identify the common property or characteristic shared by all these concepts.	drone,airplane,hot air balloon,kite,plane	aerial vehicles
Use the Input below to identify the common property or characteristic shared by all these concepts.	auctioneers,secret agents,handlers,infectious agents,eliminators	agents
Use the Input below to identify the common property or characteristic shared by all these concepts.	subscriptions,concessions,oral contracts,unanimities,seconds	agreement
Use the Input below to identify the common property or characteristic shared by all these concepts.	drone,blimp,glider,rocket,balloon	aircraft
