wrench	squishy	0
teddy bear	fragile	0
microscope	used by children	1
wall	expensive	0
cranberry	shiny	0
dresser	dangerous	0
tomahawk	dangerous	1
dishwasher	eaten in summer	0
bra	man made	1
machete	used for eating	0
raft	tall	0
pin	hard	1
tree	used by children	0
tuna	fast	1
cellar	swims	0
moth	words on it	0
cup	produces noise	0
dolphin	an animal	1
ant	fun	0
shoes	hot	0
desk	heavy	1
bra	tall	0
napkin	large	0
beehive	man made	0
cloak	squishy	0
closet	cold	0
toad	used by children	0
sack	tall	0
beetle	electrical	0
umbrella	hot	0
kettle	fragile	0
leopard	hot	0
cranberry	words on it	0
stop sign	fragile	0
fence	smelly	0
hoe	hot	0
candle	used by children	0
typewriter	hot	0
skyscraper	dangerous	0
caterpillar	used for holding things	0
blouse	cold	0
socks	used for eating	0
ball	dangerous	0
bison	hot	0
spatula	wet	1
stove	loud	0
hyena	fun	0
plum	eaten in summer	1
cake	smelly	0
seagull	produces noise	1
canoe	dangerous	0
mirror	tall	0
swan	smelly	1
bungalow	shiny	0
cat	an animal	1
anchor	hard	1
rice	wet	1
muzzle	used for eating	0
dagger	sharp	1
bridge	wet	1
spider	expensive	0
cheetah	hand held	0
dagger	produces noise	0
handbag	swims	0
cake	eaten in summer	1
paintbrush	squishy	0
pajamas	sharp	0
sleigh	tall	0
snail	used for eating	1
pliers	hot	0
truck	sharp	0
walnut	used for eating	1
broccoli	used for transportation	0
violin	sharp	0
tv	produces noise	1
prune	fast	0
donkey	sharp	0
buffalo	used by children	0
grenade	eaten in summer	0
sweater	sharp	0
boat	an animal	0
clam	fun	0
shawl	a tool	0
certificate	used by children	0
sandals	electrical	0
potato	large	0
parka	tall	0
napkin	a tool	0
yacht	electrical	1
doorknob	hand held	1
tray	loud	0
rattle	heavy	0
thermometer	hand held	1
pineapple	decorative	0
sled	tall	0
microwave	cold	0
stereo	wet	0
pigeon	wet	0
bench	hard	1
mug	a tool	1
belt	electrical	0
screwdriver	smooth	0
church	fun	0
seagull	expensive	0
curtains	cold	0
elevator	expensive	1
parsley	light weight	1
gloves	used for transportation	0
blouse	wet	0
traffic light	smelly	0
spade	squishy	0
ashtray	used for eating	0
cake	large	0
machete	used for holding things	0
remote	hot	0
banner	used for transportation	0
carrot	used for holding things	0
vase	used by children	0
coyote	tall	0
apple	large	0
mushroom	edible	1
crow	swims	0
biscuit	decorative	0
cigar	a tool	0
faucet	hot	0
harpsichord	fun	1
drapes	dangerous	0
butterfly	large	0
walrus	squishy	1
chisel	smelly	0
closet	tall	1
toaster	swims	0
blender	large	0
frog	heavy	0
gloves	loud	0
bike	squishy	0
chandelier	light weight	0
pot	loud	0
basket	shiny	0
donut	tall	0
grater	an animal	0
balloon	an animal	0
tray	hard	1
butterfly	swims	0
crow	a tool	0
pear	fun	0
saddle	fast	0
prune	light weight	1
sleigh	swims	0
dog	sharp	0
trailer	man made	1
sports ball	electrical	0
spinach	edible	1
toaster	fragile	0
salamander	smooth	1
cabin	fragile	0
subway	fragile	0
radio	light weight	1
coin	dangerous	0
ladle	used for eating	1
necklace	loud	0
leotards	decorative	0
shelves	used for transportation	0
person	light weight	0
clock	smelly	0
tripod	light weight	1
baton	shiny	0
leotards	words on it	0
goat	eaten in summer	0
remote	swims	0
subway	fun	0
banner	hot	0
wasp	sharp	1
cockroach	used by children	0
strainer	squishy	0
menu	words on it	1
hook	hot	0
seal	swims	1
beans	sharp	0
sword	edible	0
table	swims	0
caterpillar	dangerous	0
falcon	heavy	0
coconut	used for eating	1
cathedral	used for eating	0
cranberry	wet	0
subway	expensive	1
bread	used by children	1
raspberry	decorative	0
mixer	used for eating	0
harpsichord	light weight	0
parka	smelly	0
ladle	fast	0
colander	used for holding things	1
vase	cold	0
cup	used for transportation	0
scissors	hand held	1
honeydew	hot	0
blueberry	used for eating	1
stereo	loud	1
thermometer	fun	0
pajamas	tall	0
dining table	hard	1
rabbit	hot	0
frisbee	man made	1
wall	a tool	0
dagger	cold	0
boots	loud	0
keyboard	decorative	0
spider	produces noise	0
bear	used by children	0
helmet	loud	0
cabin	sharp	0
bureau	words on it	0
barrel	fast	0
squirrel	used for eating	0
eggplant	electrical	0
raft	hard	1
slingshot	produces noise	0
pumpkin	dangerous	0
cork	hand held	1
pickle	used by children	0
pliers	expensive	0
nectarine	fragile	1
pan	used for holding things	1
sheep	used for holding things	0
door	hard	1
gopher	edible	1
toad	wet	1
basement	used for holding things	0
belt	cold	0
traffic light	sharp	0
blender	heavy	0
airplane	used for eating	0
potato	sharp	0
tangerine	produces noise	0
parking meter	squishy	0
umbrella	tall	1
corkscrew	swims	0
beehive	heavy	0
vase	hard	1
turtle	eaten in summer	0
parsley	tall	0
dishwasher	heavy	1
calf	man made	0
scissors	loud	0
key	eaten in summer	0
bureau	light weight	0
potted plant	smooth	1
scarf	edible	0
pliers	a tool	1
shawl	fast	0
wheel	shiny	1
whip	used for eating	0
wine glass	sharp	0
buffalo	loud	0
gorilla	smooth	0
baseball bat	dangerous	1
escalator	sharp	0
porcupine	hand held	0
tree	man made	0
strainer	sharp	0
whistle	dangerous	0
pier	decorative	1
crayon	expensive	0
harpoon	a tool	1
teddy bear	words on it	0
microscope	fast	0
skirt	smelly	0
caribou	used for eating	0
harpsichord	used by children	0
bookcase	squishy	0
bridge	smelly	0
bed	decorative	0
bed	heavy	1
wall	fun	0
tray	eaten in summer	0
tuba	used for transportation	0
flute	tall	0
skillet	loud	0
bull	cold	0
bra	hot	0
pliers	words on it	0
strainer	decorative	0
tiger	electrical	0
tripod	an animal	0
shovel	expensive	0
avocado	electrical	0
cigar	electrical	0
bracelet	edible	0
bayonet	swims	0
level	fun	0
chimp	fragile	0
harp	used by children	0
tripod	decorative	0
bottle	fragile	1
surfboard	decorative	0
spatula	large	0
moth	man made	0
basement	an animal	0
earmuffs	swims	0
porcupine	electrical	0
scooter	used by children	0
jeans	edible	0
hyena	cold	0
frog	light weight	1
dishwasher	wet	1
python	used for transportation	0
bomb	an animal	0
cranberry	man made	0
wrench	dangerous	0
lettuce	cold	0
cage	electrical	0
cabinet	swims	0
spade	large	0
pear	wet	0
pajamas	hard	0
spinach	hard	0
boots	edible	0
beans	used for eating	1
baton	decorative	0
frog	fragile	1
flute	cold	0
scooter	used for eating	0
salmon	words on it	0
pajamas	dangerous	0
blueberry	edible	1
grasshopper	an animal	1
toothbrush	tall	0
parsley	used by children	0
rattlesnake	loud	0
fox	used by children	0
projector	tall	0
jeep	fragile	0
tortoise	used for transportation	0
harpoon	electrical	0
bread	loud	0
microwave	edible	0
owl	shiny	0
microscope	fragile	1
bread	fragile	0
dish	light weight	1
peas	wet	0
tie	decorative	1
nightgown	words on it	0
hoe	cold	0
slippers	an animal	0
wagon	loud	0
tv	hand held	0
nectarine	sharp	0
pencil	hard	1
van	used for eating	0
fawn	an animal	1
gun	wet	0
brick	large	0
calf	an animal	1
cabinet	words on it	0
peacock	fun	0
pickle	smooth	1
bolts	produces noise	0
surfboard	smooth	1
ladle	dangerous	0
seal	eaten in summer	0
blender	used for holding things	0
moose	sharp	0
wall	squishy	0
freezer	used for holding things	1
keyboard	fast	0
stereo	electrical	1
escalator	produces noise	1
butterfly	electrical	0
pony	words on it	0
butterfly	hot	0
pot	hard	1
anchor	light weight	0
cantaloupe	smelly	0
tiger	large	1
wheelbarrow	swims	0
swan	expensive	0
projector	smelly	0
carrot	hard	1
horse	heavy	1
elevator	man made	1
buggy	eaten in summer	0
catapult	cold	0
shield	fragile	0
cheetah	fast	1
bison	large	1
harpoon	expensive	1
bread	electrical	0
parking meter	used for holding things	1
sledgehammer	used for eating	0
tree	loud	0
nectarine	edible	1
refrigerator	decorative	0
beets	heavy	0
person	decorative	0
tiger	used by children	0
moth	squishy	0
pliers	sharp	0
pajamas	eaten in summer	0
bull	smooth	0
frog	a tool	0
rocket	smelly	0
squirrel	expensive	0
spider	fast	0
blouse	a tool	0
rocket	hard	1
raft	squishy	0
vine	a tool	0
pickle	used for holding things	0
cellar	a tool	0
racquet	smelly	0
drill	light weight	0
apple	smelly	0
fence	eaten in summer	0
cork	swims	0
dish	an animal	0
lion	a tool	0
vine	large	0
blender	light weight	0
butterfly	heavy	0
