wrench	squishy	0
teddy bear	fragile	0
microscope	used by children	1
shovel	used for killing	0
wall	found on walls	1
wall	expensive	0
ashtray	requires gasoline	0
cranberry	shiny	0
whistle	has peel	0
dresser	dangerous	0
tomahawk	dangerous	1
dishwasher	eaten in summer	0
bra	man made	1
machete	used for eating	0
fox	slimy	0
raft	tall	0
pin	hard	1
chandelier	requires gasoline	0
tree	used by children	0
tuna	fast	1
bra	has peel	0
tuna	a toy	0
hoe	worn for warmth	0
cellar	swims	0
moth	words on it	0
cup	produces noise	0
dolphin	an animal	1
ant	fun	0
shoes	hot	0
desk	heavy	1
bra	tall	0
napkin	large	0
beehive	man made	0
cloak	squishy	0
closet	cold	0
toad	used by children	0
mixer	has peel	0
sack	tall	0
certificate	worn for warmth	0
sack	pairs	0
beetle	electrical	0
umbrella	hot	0
kettle	fragile	0
leopard	hot	0
cranberry	words on it	0
stop sign	fragile	0
fence	smelly	0
hoe	hot	0
candle	used by children	0
typewriter	hot	0
van	worn for warmth	0
skyscraper	dangerous	0
sports ball	used for music	0
bookcase	used for killing	0
walrus	has shelves	0
caterpillar	used for holding things	0
spear	lives in water	0
blouse	cold	0
skunk	pairs	0
socks	used for eating	0
ball	dangerous	0
bison	hot	0
spatula	wet	1
stove	loud	0
hyena	fun	0
desk	flies	0
fawn	a toy	0
plum	eaten in summer	1
cake	smelly	0
spear	pairs	0
seagull	produces noise	1
canoe	dangerous	0
mirror	tall	0
swan	smelly	1
groundhog	has peel	0
bungalow	shiny	0
cat	an animal	1
anchor	hard	1
handbag	pairs	0
peas	flies	0
rice	wet	1
muzzle	used for eating	0
bench	slimy	0
machete	used for cooking	0
nectarine	pairs	0
clarinet	has peel	0
dagger	sharp	1
airplane	requires gasoline	1
hose	has peel	0
basement	used for killing	0
door	unhealthy	0
bridge	wet	1
spider	expensive	0
cheetah	hand held	0
dagger	produces noise	0
raft	used for cleaning	0
handbag	swims	0
cake	eaten in summer	1
paintbrush	squishy	0
thimble	used for killing	0
tripod	worn for warmth	0
knife	a toy	0
bowl	has shelves	0
pajamas	sharp	0
swimsuit	worn for warmth	0
sleigh	tall	0
carpet	slimy	0
snail	used for eating	1
pliers	hot	0
truck	sharp	0
walnut	used for eating	1
broccoli	used for transportation	0
keyboard	pairs	0
violin	sharp	0
tv	produces noise	1
hose	used for killing	0
cellar	a toy	0
prune	fast	0
bench	has shelves	0
donkey	sharp	0
muzzle	a toy	0
buffalo	used by children	0
hook	found on walls	1
grenade	eaten in summer	0
dagger	unhealthy	0
lamp	used for killing	0
sweater	sharp	0
boat	an animal	0
clam	fun	0
shawl	a tool	0
certificate	used by children	0
sleigh	used for killing	0
sandals	electrical	0
potato	large	0
parka	tall	0
napkin	a tool	0
yacht	electrical	1
doorknob	hand held	1
squid	lives in water	1
tray	loud	0
rattle	heavy	0
thermometer	hand held	1
rocket	used for cooking	0
pineapple	decorative	0
sled	tall	0
car	worn for warmth	0
microwave	cold	0
cloak	has shelves	0
bread	unhealthy	0
stereo	wet	0
salmon	has peel	0
pigeon	wet	0
bench	hard	1
mug	a tool	1
belt	electrical	0
tuba	has shelves	0
screwdriver	smooth	0
church	fun	0
seagull	expensive	0
curtains	cold	0
cabin	worn on feet	0
elevator	expensive	1
parsley	light weight	1
gloves	used for transportation	0
blouse	wet	0
traffic light	smelly	0
hornet	a toy	0
spade	squishy	0
penguin	has shelves	0
ashtray	used for eating	0
cake	large	0
machete	used for holding things	0
remote	hot	0
shirt	has shelves	0
banner	used for transportation	0
kite	slimy	0
carrot	used for holding things	0
robe	used for cleaning	0
vase	used by children	0
coyote	tall	0
wheel	has shelves	0
apple	large	0
mushroom	edible	1
crow	swims	0
biscuit	decorative	0
carpet	pairs	0
cigar	a tool	0
faucet	hot	0
harpsichord	fun	1
drapes	dangerous	0
butterfly	large	0
walrus	squishy	1
chisel	smelly	0
nightgown	used for cleaning	0
crown	worn for warmth	0
closet	tall	1
toaster	swims	0
blender	large	0
frog	heavy	0
cloak	worn on feet	0
cloak	flies	0
crossbow	has shelves	0
gloves	loud	0
bike	squishy	0
chandelier	light weight	0
pot	loud	0
basket	shiny	0
donut	tall	0
grater	an animal	0
stove	worn on feet	0
zucchini	pairs	0
balloon	an animal	0
tray	hard	1
butterfly	swims	0
crow	a tool	0
freezer	slimy	0
pear	fun	0
butterfly	worn for warmth	0
saddle	fast	0
cape	worn on feet	0
prune	light weight	1
sleigh	swims	0
dog	sharp	0
trailer	man made	1
sports ball	electrical	0
clamp	used for cleaning	0
umbrella	unhealthy	0
spinach	edible	1
toaster	fragile	0
salamander	smooth	1
cabin	fragile	0
subway	fragile	0
frisbee	worn for warmth	0
radio	light weight	1
coin	dangerous	0
ladle	used for eating	1
necklace	loud	0
leotards	decorative	0
shelves	used for transportation	0
pencil	lives in water	0
person	light weight	0
clock	smelly	0
tripod	light weight	1
baton	shiny	0
leotards	words on it	0
goat	eaten in summer	0
remote	swims	0
subway	fun	0
banner	hot	0
wasp	sharp	1
cockroach	used by children	0
strainer	squishy	0
menu	words on it	1
jeep	used for music	0
hook	hot	0
seal	swims	1
beans	sharp	0
sword	edible	0
table	swims	0
caterpillar	dangerous	0
falcon	heavy	0
coconut	used for eating	1
sack	lives in water	0
cathedral	used for eating	0
cranberry	wet	0
subway	expensive	1
fawn	used for music	0
bread	used by children	1
raspberry	decorative	0
jar	used for music	0
olive	requires gasoline	0
garage	pairs	0
lamp	has shelves	0
mixer	used for eating	0
apple	requires gasoline	0
harpsichord	light weight	0
parka	smelly	0
ladle	fast	0
colander	used for holding things	1
wall	requires gasoline	0
vase	cold	0
cup	used for transportation	0
scissors	hand held	1
cake	used for cooking	0
bomb	has shelves	0
honeydew	hot	0
blueberry	used for eating	1
stereo	loud	1
wine glass	used for killing	0
thermometer	fun	0
pajamas	tall	0
dining table	hard	1
rabbit	hot	0
skunk	worn for warmth	0
frisbee	man made	1
wall	a tool	0
dagger	cold	0
boots	loud	0
keyboard	decorative	0
rat	lives in water	0
spider	produces noise	0
bear	used by children	0
helmet	loud	0
cabin	sharp	0
broccoli	has shelves	0
bureau	words on it	0
barrel	fast	0
squirrel	used for eating	0
swan	requires gasoline	0
eggplant	electrical	0
accordion	used for cooking	0
raft	hard	1
slingshot	produces noise	0
pumpkin	dangerous	0
cork	hand held	1
giraffe	requires gasoline	0
banana	slimy	0
strainer	worn on feet	0
pickle	used by children	0
pliers	expensive	0
nectarine	fragile	1
pan	used for holding things	1
sheep	used for holding things	0
duck	used for killing	0
door	hard	1
necklace	used for music	0
gopher	edible	1
bird	a toy	0
toad	wet	1
basement	used for holding things	0
suitcase	used for cooking	0
belt	cold	0
traffic light	sharp	0
blender	heavy	0
airplane	used for eating	0
potted plant	worn for warmth	0
potato	sharp	0
garage	used for cleaning	0
tangerine	produces noise	0
parking meter	squishy	0
sleigh	slimy	0
umbrella	tall	1
sledgehammer	a toy	0
corkscrew	swims	0
harpsichord	used for cooking	0
beehive	heavy	0
vine	has peel	0
turtle	pairs	0
vase	hard	1
turtle	eaten in summer	0
hook	used for cooking	0
parsley	tall	0
dishwasher	heavy	1
parka	a toy	0
napkin	has peel	0
calf	man made	0
scissors	loud	0
bird	used for music	0
key	eaten in summer	0
bureau	light weight	0
faucet	flies	0
potted plant	smooth	1
scarf	edible	0
mouse	flies	0
coin	used for cleaning	0
taxi	requires gasoline	1
pliers	a tool	1
shawl	fast	0
wheel	shiny	1
cranberry	used for cleaning	0
whip	used for eating	0
wine glass	sharp	0
dog	lives in water	0
fence	has shelves	0
buffalo	loud	0
owl	found on walls	0
gorilla	smooth	0
blender	flies	0
yacht	found on walls	0
baseball bat	dangerous	1
escalator	sharp	0
porcupine	hand held	0
tree	man made	0
skirt	has peel	0
gloves	a toy	0
strainer	sharp	0
bear	lives in water	0
whistle	dangerous	0
spatula	lives in water	0
pier	decorative	1
crayon	expensive	0
harpoon	a tool	1
teddy bear	words on it	0
couch	has peel	0
car	requires gasoline	1
napkin	has shelves	0
microscope	fast	0
skirt	smelly	0
caribou	used for eating	0
harpsichord	used by children	0
bookcase	squishy	0
bridge	smelly	0
bed	decorative	0
bed	heavy	1
wall	fun	0
tray	eaten in summer	0
